Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
8,2,2,¥¯¥¤¥ó¥º¥¦¥£¥ó¥À¥à,¥»5,57.0,¼Æ»³Íº°ì,2:16.3,¥Ï¥Ê,10.8,5.0,544(-4),[Åì] ±üÊ¿²í»Î
9,8,12,¥·¥ó¥³¡¼¥Þ¡¼¥Á¥ã¥ó,²´5,54.0,¿û¸¶ÌÀÎÉ,2:17.0,4,48.7,10.0,488(-4),[Åì] ÅÚÅÄÌ­
10,7,10,¥í¥Ó¥ó¥º¥½¥ó¥°,²´4,57.0,ÆâÅÄÇî¹¬,2:17.3,1.1/2,4.7,3.0,536(0),[Åì] ¸Å²ì¿µÌÀ
11,8,11,¥í¥¤¥ä¥ë¥¢¥Õ¥§¥¢,²´4,57.0,ÀÐÀîÍµµª,2:17.5,1.1/4,73.9,11.0,506(0),[Åì] ²ÃÆ£»ÎÄÅ
12,1,1,¥µ¥ó¥ª¡¼¥¯¥é¥ó¥É,²´5,57.0,ÅÄÊÕÍµ¿®,2:17.5,¥¢¥¿¥Þ,6.0,4.0,510(+12),[Åì] Ãæ´Ü±ÑÆó
1,6,6,¥¨¥¹¥È¥¹¥Ú¥ê¥ª¥ë,²´4,54.0,¥ì¡¼¥ó,2:25.0,,2.8,2.0,452(0),[Åì] ËÙÀë¹Ô
2,4,4,¥ß¥ä¥¸¥æ¥¦¥À¥¤,²´5,55.0,»­Åç¹î½Ù,2:25.1,1/2,8.6,4.0,542(+2),[À¾] ÀîÂ¼Ä÷É§
3,2,2,¥¹¥ô¥¡¥ë¥Ê,²´4,55.0,ÄÅÂ¼ÌÀ½¨,2:25.3,1.1/2,2.5,1.0,500(-6),[À¾] ÃÓ¹¾ÂÙ¼÷
4,8,8,¥¨¥¹¥Æ¥£¡¼¥à,²´5,55.0,Ã°ÆâÍ´¼¡,2:25.4,¥¯¥Ó,13.5,5.0,526(-4),[Åì] ¶âÀ®µ®»Ë
5,1,1,¥Þ¥¤¥Í¥ë¥¯¥é¥Õ¥È,²´6,53.0,¼ÆÅÄÂçÃÎ,2:25.7,1.3/4,31.6,7.0,486(-2),[Åì] ´ä¸Í¹§¼ù
6,7,7,¥á¥¤¥·¥ç¥¦¥Û¥¦¥È¥¦,²´8,54.0,²ÃÆ£¾ÍÂÀ,2:25.9,1.1/4,22.3,6.0,488(-20),[À¾] ¾åÂ¼ÍÎ¹Ô
7,3,3,¥Ô¥Ã¥Ä¥Ð¡¼¥°,¥»6,54.0,ÆâÅÄÇî¹¬,2:26.1,1.1/4,4.4,3.0,494(-2),[À¾] ÌðºîË§¿Í
8,5,5,¥«¥¿¥è¥¯¥Î¥Æ¥ó¥·,²´6,53.0,À¾Â¼½ßÌé,2:26.3,1.1/2,67.0,8.0,498(+6),[À¾] ÈÓÅÄÍº»°
1,1,1,¥é¥ô¥£¥ó¥°¥¢¥ó¥µ¡¼,²´5,55.0,ÅÄÊÕÍµ¿®,1:19.5,,4.1,1.0,502(0),[À¾] ÀÐºäÀµ
2,6,6,¥¦¥¤¥ó¥Õ¥§¥Ë¥Ã¥¯¥¹,²´8,55.0,¼ÆÅÄÂçÃÎ,1:19.8,2,30.0,9.0,480(+2),[Åì] ±üÊ¿²í»Î
3,7,7,¥È¥ß¥±¥ó¥­¥ë¥«¥¹,²´7,55.0,²®Ìî¶Ë,1:19.8,¥Ï¥Ê,20.2,8.0,512(-2),[Åì] ÂçÏÂÅÄÀ®
4,7,8,¥ì¥¤¥ó¥Ü¡¼¥Õ¥é¥Ã¥°,²´6,56.0,¾¾»³¹°Ê¿,1:20.0,1.1/4,6.1,4.0,464(0),[À¾] ¾®ºê·û
5,8,10,¥é¥¤¥é¥Ã¥¯¥«¥é¡¼,²´4,56.0,ÉðÆ£²í,1:20.2,1.1/4,4.9,3.0,466(+10),[Åì] Æ£ÂôÏÂÍº
6,3,3,¥Ü¥ó¥»¥ë¥ô¥£¡¼¥½,²´5,56.0,ÀÐ¶¶æû,1:20.2,¥¢¥¿¥Þ,4.7,2.0,472(-6),[À¾] ÃÓÅº³Ø
7,2,2,¥Ç¥¹¥Æ¥£¥Ë¡¼¥½¥ó¥°,ÌÆ5,52.0,Æ£²¬¹¯ÂÀ,1:20.5,2,7.5,5.0,454(-6),[À¾] ¾¾²¼Éð»Î
8,4,4,¥Ê¥ó¥è¡¼¥¢¥ß¡¼¥³,²´6,56.0,¼ÆÅÄÁ±¿Ã,1:20.9,2.1/2,7.7,6.0,446(+14),[Åì] ½¡ÁüµÁÃé
9,8,9,¥Ó¥Ã¥¯¥ê¥·¥¿¥Ê¥â¡¼,²´5,54.0,Æ£ÅÄºÚ¼·,1:21.3,2.1/2,37.4,10.0,504(-2),[À¾] ²»Ìµ½¨¹§
10,5,5,¥ª¥ë¥ì¥¢¥ó¥í¡¼¥º,ÌÆ6,52.0,¹¾ÅÄ¾ÈÃË,1:21.5,1.1/2,14.8,7.0,488(+4),[Åì] ¹âÌÚÅÐ
1,5,6,¥«¥ì¥ó¥Ö¡¼¥±¥É¡¼¥ë,ÌÆ3,54.0,ÄÅÂ¼ÌÀ½¨,1:47.7,,5.1,2.0,464(-2),[Åì] ¹ñ»Þ±É
2,2,2,¥·¥ó¥°¥Õ¥©¡¼¥æ¡¼,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:47.7,¥¯¥Ó,13.5,4.0,454(+8),[Åì] ËÒ¸÷Æó
3,6,7,¥»¥ê¥æ¡¼¥º,ÌÆ3,54.0,ÀÐ¶¶æû,1:47.8,1/2,1.8,1.0,500(-4),[Åì] ¹ñ»Þ±É
4,8,11,¥ì¥Ã¥É¥¢¥Í¥â¥¹,ÌÆ3,54.0,ÀÐÀîÍµµª,1:48.1,1.3/4,20.6,8.0,470(-4),[À¾] Í§Æ»¹¯É×
5,3,3,¥¢¥Õ¥é¥ó¥·¡¼¥ë,ÌÆ3,54.0,»­Åç¹î½Ù,1:48.1,¥¢¥¿¥Þ,19.3,7.0,478(-2),[Åì] Èø´ØÃÎ¿Í
6,5,5,¥¯¡¼¥ë¥¦¥©¡¼¥¿¡¼,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:48.1,¥¯¥Ó,6.5,3.0,420(0),[Åì] ËÙÀë¹Ô
7,8,12,¥é¥·¥§¡¼¥é,ÌÆ3,54.0,¥ì¡¼¥ó,1:48.2,¥¯¥Ó,18.8,6.0,444(+2),[À¾] ºûÅÄÏÂ½¨
8,4,4,¥¦¥¤¥ó¥á¥ë¥·¡¼,ÌÆ3,54.0,²£»³Éð»Ë,1:48.2,¥¯¥Ó,55.2,10.0,464(+10),[Åì] ÎëÌÚ¿­¿Ò
9,7,9,¥é¥ó¥Ú¥É¥¥¡¼¥¶,ÌÆ3,54.0,¹¾ÅÄ¾ÈÃË,1:48.4,1,133.0,12.0,472(0),[Åì] ¹â»Ô·½Æó
10,1,1,¥µ¥à¥·¥ó¥°¥¸¥ã¥¹¥È,ÌÆ3,54.0,¾¾»³¹°Ê¿,1:48.5,1/2,15.0,5.0,488(0),[À¾] ¾¾ÅÄ¹ñ±Ñ
11,6,8,¥È¥í¥¤¥á¥ó¥È,ÌÆ3,54.0,ÆâÅÄÇî¹¬,1:49.1,3.1/2,74.7,11.0,414(-14),[À¾] À¾±º¾¡°ì
12,7,10,¥·¥ã¥ï¡¼¥¯¥é¥¤¥à,ÌÆ3,54.0,ÂçÌîÂóÌï,1:49.2,1/2,25.0,9.0,430(0),[Åì] ÅÄÃæ¹ä
1,4,8,¥¢¥É¥é¥á¥ì¥¯,²´5,57.0,ÅÄÊÕÍµ¿®,2:12.9,,18.7,7.0,466(0),[À¾] ÀÐºäÀµ
2,4,7,¥Õ¥©¡¼¥¹¥é¥¤¥ó,²´5,57.0,ÀÐ¶¶æû,2:13.0,1/2,2.7,1.0,506(-2),[À¾] µÈÅÄÄ¾¹°
3,6,11,¥ô¥£¥¸¥ç¥ó¥ª¥Ö¥é¥ô,²´4,57.0,µÜºêËÌÅÍ,2:13.8,5,23.0,8.0,488(+2),[Åì] ¿·³«¹¬°ì
4,8,15,¥À¥¤¥ï¥¤¥ó¥Ñ¥ë¥¹,²´7,55.0,µÆÂô°ì¼ù,2:13.9,3/4,55.9,14.0,490(-8),[Åì] ½¡ÁüµÁÃé
5,5,9,¥¢¥Ð¥ª¥¢¥¯¡¼,²´7,57.0,ÂçÌîÂóÌï,2:14.1,1.1/4,14.3,6.0,518(-8),[Åì] ¿·³«¹¬°ì
6,3,6,¥é¥¤¥Ç¥ó¥Ð¥í¡¼¥º,²´5,57.0,Æ£²¬¹¯ÂÀ,2:14.1,¥¯¥Ó,7.5,3.0,524(-8),[À¾] Æ£²¬·ò°ì
7,5,10,¥«¥ê¡¼¥Ë¥ç¥ß¥Î¥ë,ÌÆ5,55.0,¾¾»³¹°Ê¿,2:14.2,1/2,24.4,9.0,490(-4),[À¾] ËÌ½ÐÀ®¿Í
8,2,4,¥¨¥à¥ª¡¼¥°¥ê¥Ã¥¿,²´5,55.0,ÌîÃæÍªÂÀ,2:14.3,1/2,7.8,4.0,496(-4),[Åì] ¸Å²ì¿µÌÀ
9,2,3,¥á¥È¥í¥Ý¥ê¥¹,²´5,57.0,ÆâÅÄÇî¹¬,2:14.4,¥¯¥Ó,5.0,2.0,522(-4),[À¾] µÈÂ¼·½»Ê
10,7,14,¥ß¥é¥¯¥ë¥Ò¥Ã¥¿¡¼,²´4,57.0,ÅÄÃæ¾¡½Õ,2:14.4,¥¯¥Ó,50.5,13.0,500(0),[Åì] µÆÀîÀµÃ£
11,7,13,¥Ï¥·¥«¥ß,²´6,57.0,Éð»ÎÂôÍ§,2:14.6,1.1/4,40.9,12.0,484(-2),[Åì] ¾®É°»³¸ç
12,8,16,¥ï¥¤¥ë¥É¥²¡¼¥à,²´6,54.0,Æ£ÅÄºÚ¼·,2:14.7,¥¯¥Ó,62.3,15.0,498(+2),[Åì] ÀÐ·ªÎ¶É§
13,6,12,¥¤¥ë¥Õ¥©¡¼¥³¥ó,²´6,57.0,Ã°ÆâÍ´¼¡,2:14.7,¥¯¥Ó,13.9,5.0,472(+6),[Åì] Éð»Ô¹¯ÃË
14,1,1,¥¦¥©¡¼¥¿¡¼¥Þ¡¼¥º,¥»5,57.0,É©ÅÄÍµÆó,2:15.0,2,24.9,10.0,520(-10),[À¾] ²¬ÅÄ°ðÃË
15,3,5,¥Õ¥é¥ó¥É¥ë,¥»6,57.0,²®Ìî¶Ë,2:15.6,3.1/2,32.8,11.0,490(-2),[À¾] Æ£¸¶±Ñ¾¼
16,1,2,¥¯¡¼¥ë¥¨¥¤¥¸¥¢,²´7,56.0,²£»³Éð»Ë,2:15.9,2,177.0,16.0,470(-2),[Åì] ÎëÌÚ¿­¿Ò
1,2,4,¥¹¥¤¡¼¥Ä¥Ó¥å¥Ã¥Õ¥§,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:38.8,,3.5,3.0,472(0),[Åì] ÃæÀî¸øÀ®
2,5,9,¥³¥³¥ê¥¸¥ã¥¹¥ß¥ó,ÌÆ3,52.0,ÌîÃæÍªÂÀ,1:38.9,1/2,212.8,13.0,456(0),[Åì] ¸Å²ì¿µÌÀ
3,4,8,¥Ô¥Á¥«¡¼¥È¥Ý¥ë¥«,ÌÆ3,54.0,¥ë¥á¡¼¥ë,1:39.1,1,2.2,1.0,520(+2),[Åì] ²ÃÆ£À¬¹°
4,1,2,¥¢¥É¥¢¥¹¥Æ¥é,ÌÆ3,54.0,ÆâÅÄÇî¹¬,1:39.5,2.1/2,3.3,2.0,448(+8),[Åì] ³þÌî¹ÀÆó
5,8,16,¥È¡¼¥»¥ó¥³¥Ï¥¯,ÌÆ3,54.0,»°±º¹ÄÀ®,1:39.7,1.1/4,16.0,4.0,478(-4),[Åì] ¿ù±º¹¨¾¼
6,3,6,¥Õ¥©¡¼¥¢¥Í¡¼¥à,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:40.0,1.3/4,67.8,8.0,492(0),[Åì] ÅÄÃæÀ¶Î´
7,7,13,¥Õ¥í¥é¥·¥ª¥ó,ÌÆ3,54.0,¾¾²¬Àµ³¤,1:40.0,¥¯¥Ó,148.2,11.0,420(+2),[Åì] ²ÃÆ£»ÎÄÅ
8,1,1,¥Õ¥¡¥ó¥·¡¼¥é¥ó,ÌÆ3,54.0,ÀÐ¶¶æû,1:40.5,3,28.4,6.0,426(-2),[Åì] ËÒ¸÷Æó
9,4,7,¥é¥ó¥É¥¹¥±¡¼¥×,ÌÆ3,54.0,¸Íºê·½ÂÀ,1:40.8,1.3/4,23.5,5.0,486(-12),[Åì] Éð°æÎ¼
10,7,14,¥ª¥ë¥ª¥ë,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,1:40.9,¥¯¥Ó,341.1,15.0,398(+6),[Åì] À±ÌîÇ¦
11,3,5,¥³¡¼¥ô,ÌÆ3,54.0,È¼·¼ÂÀ,1:41.2,1.3/4,316.2,14.0,440(+2),[Åì] ¹âÌø¿ð¼ù
12,8,15,¥·¥²¥ë¥«¥¤¥ä¥Ê¥¤¥È,ÌÆ3,51.0,»³ÅÄ·É»Î,1:41.8,3.1/2,126.8,10.0,406(0),[Åì] ÃæÌî±É¼£
13,6,12,¥×¥é¥à¥¹¥È¡¼¥ó,ÌÆ3,53.0,ÉðÆ£²í,1:42.1,2,32.6,7.0,474(0),[Åì] µ×ÊÝÅÄµ®
14,2,3,¥Ñ¥É¥¯¥í¥¢,ÌÆ3,54.0,ÏÂÅÄÎµÆó,1:42.8,4,164.4,12.0,436(-6),[À¾] Â¼»³ÌÀ
15,5,10,¥µ¥¤¥â¥ó¥»¥ì¥Ê¡¼¥Ç,ÌÆ3,54.0,ÂçÌîÂóÌï,1:43.2,2.1/2,108.6,9.0,494(-8),[Åì] Àª»ÊÏÂ¹À
16,6,11,¥¢¥ß¥Õ¥¸¥¢¥®¥·¥ã¥ó,ÌÆ3,52.0,µÆÂô°ì¼ù,1:43.8,3.1/2,503.8,16.0,450(+4),[Åì] ÀõÌîÍÎ°ì
1,1,2,¥¸¥§¥¤¥¨¥ë¥Õ¥é¥Ã¥°,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:25.9,,14.9,4.0,426(-2),[Åì] ¾®À¾°ìÃË
2,5,10,¥Æ¥¯¥Î¥É¥ê¡¼¥à,²´3,54.0,ÌîÃæÍªÂÀ,1:26.2,2,12.0,3.0,468(+2),[Åì] ÅÄÃæÇî¹¯
3,6,11,¥Þ¥­,²´3,56.0,¥ì¡¼¥ó,1:26.8,3.1/2,1.5,1.0,532(0),[Åì] ¼êÄÍµ®µ×
4,8,15,¥¦¥£¥ó¥º¥ª¥Ö¥´¥Ã¥É,²´3,56.0,ÂçÌîÂóÌï,1:26.8,¥Ï¥Ê,22.0,6.0,500(+8),[Åì] °ËÆ£Âç»Î
5,4,7,¥¢¥¤¥à¥½¡¼¥°¥ì¥¤¥È,²´3,56.0,¾¾²¬Àµ³¤,1:26.8,¥¯¥Ó,26.1,7.0,468(0),[Åì] Æ£¸¶Ã¤Íº
6,3,6,¥­¥ó¥·¥ç¡¼¥Ø¥¤¥í¡¼,²´3,56.0,ÆâÅÄÇî¹¬,1:27.1,1.3/4,18.6,5.0,468(-8),[Åì] ÅÄÅç½ÓÌÀ
7,7,13,¥¢¡¼¥Á¥ó¥¬¥¤,²´3,56.0,»°±º¹ÄÀ®,1:27.1,¥¢¥¿¥Þ,174.4,12.0,480(+2),[Åì] °ËÆ£·½»°
8,2,3,¥Û¡¼¥à¥Á¡¼¥à,²´3,56.0,¸Íºê·½ÂÀ,1:27.2,1/2,4.7,2.0,468(-6),[Åì] µ×ÊÝÅÄµ®
9,3,5,¥Ï¥¯¥µ¥ó¥á¥¤¥²¥Ä,²´3,56.0,´äÉô½ãÆó,1:27.4,1.1/4,204.9,13.0,444(0),[Åì] ÀõÌîÍÎ°ì
10,2,4,¥â¥ó¥È¥«¥¤¥¶¡¼,¥»3,55.0,ÉðÆ£²í,1:27.6,1.1/2,27.8,8.0,468(+2),[Åì] Èø·ÁÏÂ¹¬
11,5,9,¥æ¥¤¥Î¥³¥Ã¥Ú¥Ñ¥ó,²´3,56.0,µÈÅÄË­,1:28.1,3,153.6,10.0,432(0),[Åì] ÃÝÆâÀµÍÎ
12,7,14,¥¼¥ë¥¿¡¼,²´3,53.0,¿û¸¶ÌÀÎÉ,1:29.2,7,43.3,9.0,500(+6),[Åì] ²ÃÆ£À¬¹°
13,4,8,¥µ¥×¥é¥¤¥º¥Õ¥§¥¹¥¿,²´3,54.0,µÆÂô°ì¼ù,1:29.7,3,411.6,16.0,466(-4),[Åì] º´Æ£µÈ¾¡
14,1,1,¥¯¥ê¥¢¥»¡¼¥ê¥ó¥°,²´3,56.0,ÏÂÅÄÎµÆó,1:30.0,2,265.2,14.0,470(0),[Åì] Ãæ´Ü±ÑÆó
15,6,12,¥Ù¥¹¥È¥Ç¥¤¥¨¥ô¥¡¡¼,ÌÆ3,51.0,»³ÅÄ·É»Î,1:30.3,1.1/2,164.8,11.0,438(0),[Åì] ¿¼»³²í»Ë
16,8,16,¥Þ¥¤¥Í¥ë¥í¥ó¥°¥é¥ó,²´3,56.0,Ã°ÆâÍ´¼¡,1:31.7,9,298.3,15.0,508(+14),[Åì] ¶âÀ®µ®»Ë
1,5,9,¥À¥¤¥¹¥¢¥­¥ã¥¹¥È,²´3,56.0,¥ë¥á¡¼¥ë,1:37.8,,2.3,1.0,494(+28),[Åì] ²ÃÆ£À¬¹°
2,1,1,¥ä¥Þ¥Ë¥ó¥é¥Õ¥¡¡¼¥¬,²´3,56.0,¥ì¡¼¥ó,1:38.9,7,9.8,5.0,498(+2),[Åì] °ð³À¹¬Íº
3,4,6,¥Ô¥«¥ì¥¹¥¯¥¹¥Þ¥¤¥ë,²´3,54.0,ÌîÃæÍªÂÀ,1:39.3,2.1/2,147.0,11.0,434(+4),[Åì] ¸Å²ì¿µÌÀ
4,3,5,¥í¡¼¥É¥ª¥Ò¥¢,²´3,56.0,µÈÅÄË­,1:39.5,1.1/4,46.0,9.0,482(-6),[À¾] °ÂÅÄæÆ¸à
5,8,15,¥¿¥¤¥­¥ê¥ô¥§¡¼¥ë,²´3,54.0,µÆÂô°ì¼ù,1:39.6,¥¯¥Ó,8.2,4.0,460(-8),[Åì] µÆÂôÎ´ÆÁ
6,6,11,¥¢¥é¥é¥È¥Æ¥½¡¼¥í,²´3,55.0,ÉðÆ£²í,1:39.6,¥¯¥Ó,178.1,12.0,488(+12),[Åì] ÏÂÅÄÍºÆó
7,6,10,¥É¥ó¥¦¥©¥ê¥Þ¥ß¡¼,²´3,56.0,ÀÐ¶¶æû,1:39.8,1,4.9,3.0,496(-6),[Åì] ¼¯¸ÍÍº°ì
8,3,4,¥Þ¥¤¥Í¥ë¥ª¥Ë¥­¥¹,²´3,56.0,Ã°ÆâÍ´¼¡,1:39.8,¥¯¥Ó,16.8,6.0,482(-3),[Åì] ¿¼»³²í»Ë
9,2,3,¥ª¥¹¥Æ¥£¥ê¥ª,²´3,56.0,¸Íºê·½ÂÀ,1:40.4,3.1/2,17.0,7.0,494(-2),[À¾] ±üÂ¼Ë­
10,5,8,¥¨¥¹¥È¥ì¥é¥Ö¥é¥ó¥³,²´3,56.0,ÂçÌîÂóÌï,1:41.4,6,4.6,2.0,428(0),[Åì] ¾¾»³¾­¼ù
11,4,7,¥É¥¥¡¼¥ï¥ó¥º¥Ù¥¹¥È,²´3,56.0,¹âÁÒÎÇ,1:41.5,¥¯¥Ó,191.8,13.0,484(+2),[À¾] À¶¿åµ×»ì
12,2,2,¥°¥é¥ó¥Ç¥£¡¼¥ë,²´3,56.0,ÆâÅÄÇî¹¬,1:41.5,¥Ï¥Ê,45.2,8.0,578(0),[Åì] ÂçÃÝÀµÇî
13,7,12,¥×¥é¥Ô¥ë¡¼¥ó,²´3,56.0,´äÉô½ãÆó,1:42.1,4,649.5,15.0,436(-2),[Åì] ÀõÌîÍÎ°ì
14,8,14,¥Ò¥ä¥¯,ÌÆ3,51.0,»³ÅÄ·É»Î,1:42.6,3,474.0,14.0,438(-4),[Åì] ¾®É°»³¸ç
15,7,13,¥ô¥§¥ó¥»¡¼¥ë¥·¥Á¡¼,²´3,56.0,¾¾²¬Àµ³¤,1:43.4,5,133.7,10.0,440(+2),[Åì] °ËÆ£·½»°
1,5,10,¥â¥º¥ì¥¸¡¼¥Ê,ÌÆ3,54.0,¥ë¥á¡¼¥ë,1:33.4,,3.3,1.0,426(-8),[À¾] ÌðºîË§¿Í
2,5,9,¥«¥ó¥Ñ¡¼¥Ë¥ã,²´3,56.0,ÆâÅÄÇî¹¬,1:33.9,3,8.8,5.0,440(0),[Åì] È«»³µÈ¹¨
3,7,14,¥¢¡¼¥ß¥ó¥°¥¨¥ê¥¢,²´3,56.0,ÂçÌîÂóÌï,1:34.3,2.1/2,94.6,10.0,468(+2),[Åì] ·ªÅÄÅ°
4,2,4,¥·¥ç¥¦¥Ê¥ó¥µ¥¸¥ó,²´3,56.0,µÈÅÄË­,1:34.4,3/4,47.6,8.0,472(0),[Åì] ÅÄÃæ¹ä
5,3,6,¥¿¥¤¥¬¡¼¥¹¥È¥é¥¤¥×,²´3,53.0,¿û¸¶ÌÀÎÉ,1:34.5,¥¯¥Ó,361.6,15.0,460(+2),[Åì] ÅÚÅÄÌ­
6,7,13,¥Ñ¥É¥¥¥Ð¥¹¥¯,ÌÆ3,54.0,ÏÂÅÄÎµÆó,1:34.5,¥¯¥Ó,121.0,11.0,490(-4),[Åì] ËÜ´ÖÇ¦
7,8,16,¥Õ¥§¥ë¥·¥å¥Æ¥ë¥±¥ó,²´3,56.0,ÀÐ¶¶æû,1:34.5,¥Ï¥Ê,3.7,2.0,498(+32),[Åì] ¼êÄÍµ®µ×
8,4,8,¥¯¥ê¥Î¥«¥ê¥Ó¥¢¥ó,ÌÆ3,54.0,È¼·¼ÂÀ,1:34.7,1.1/4,122.7,12.0,424(0),[Åì] ¹â¶¶µÁÇî
9,8,17,¥Õ¥¡¥¤¥Æ¥£¥ó¥°¥Þ¥ó,²´3,56.0,»°±º¹ÄÀ®,1:34.8,3/4,36.8,7.0,506(-2),[Åì] Èø´ØÃÎ¿Í
10,8,15,¥í¡¼¥É¥¹¥È¥é¥¤¥¯,²´3,54.0,ÌîÃæÍªÂÀ,1:34.8,¥Ï¥Ê,4.9,3.0,472(0),[Åì] Èø·ÁÏÂ¹¬
11,3,5,¥Ê¥¤¥È¥ª¥Ö¥´¡¼¥ë¥É,²´3,55.0,ÉðÆ£²í,1:34.8,¥¯¥Ó,141.4,13.0,460(+2),[Åì] ¿åÌîµ®¹­
12,6,11,¥Õ¥¬¥¯,²´3,53.0,»³ÅÄ·É»Î,1:35.0,3/4,630.4,17.0,440(-6),[Åì] ¾®É°»³¸ç
13,2,3,¥ß¥Ä¥«¥Í¥é¥Ö,ÌÆ3,54.0,¹âÁÒÎÇ,1:35.3,2,355.7,14.0,442(0),[Åì] Å·´Ö¾¼°ì
14,1,1,¥³¥¹¥â¥ê¥ß¥Ã¥¯¥¹,²´3,56.0,Ã°ÆâÍ´¼¡,1:35.7,2.1/2,5.8,4.0,438(-6),[Åì] ÅÄÃæ¹ä
15,1,2,¥±¥¤¥º¥Ç¥¤¥¸¡¼,ÌÆ3,54.0,¾¾²¬Àµ³¤,1:35.7,¥Ï¥Ê,503.9,16.0,402(+4),[Åì] º¬ËÜ¹¯¹­
16,6,12,¥·¥ç¥¦¥Ê¥ó¥é¥ó¥¸¥å,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:36.1,2.1/2,58.9,9.0,444(-2),[Åì] ±üÂ¼Éð
Ãæ,4,7,¥æ¥¢¡¼¥º¥È¥¥¥ë¡¼¥ê,²´3,56.0,¸Íºê·½ÂÀ,,,10.9,6.0,544(0),[Åì] ¼êÄÍµ®µ×
1,2,2,¥¿¥ó¥¿¥Õ¥¨¥ë¥µ,²´4,57.0,¸Íºê·½ÂÀ,2:28.9,,4.8,3.0,438(-8),[Åì] ¹ñ»Þ±É
2,1,1,¥¸¥ó¥´¥¤¥¹¥È,²´4,57.0,¥ì¡¼¥ó,2:28.9,¥¯¥Ó,5.8,4.0,496(-10),[À¾] ÌðºîË§¿Í
3,4,4,¥ô¥¡¥ó¥¯¡¼¥ë¥·¥ë¥¯,¥»5,57.0,¥ë¥á¡¼¥ë,2:28.9,¥¢¥¿¥Þ,4.4,2.0,578(-14),[Åì] ÌÚÂ¼Å¯Ìé
4,6,6,¥ì¥Ã¥É¥Ü¥Ì¡¼¥ë,ÌÆ5,55.0,ÅÄÃæ¾¡½Õ,2:28.9,¥¢¥¿¥Þ,51.2,5.0,420(+12),[Åì] ½¡ÁüµÁÃé
5,5,5,¥¿¥¤¥×¥à¡¼¥ó,ÌÆ4,55.0,µÜºêËÌÅÍ,2:29.8,5,64.5,6.0,460(+6),[Åì] ÀÄÌÚ¹§Ê¸
6,7,7,¥ï¥»¥À¥¤¥ó¥Ö¥ë¡¼,²´4,57.0,ÅÄÊÕÍµ¿®,2:30.4,3.1/2,1.6,1.0,440(-10),[Åì] ¶âÀ®µ®»Ë
7,3,3,¥¹¥º¥è¥Ö¥é¥Ã¥¯,²´4,54.0,»³ÅÄ·É»Î,2:31.7,8,120.9,7.0,484(-2),[Åì] ¾¾±Ê¹¯Íø
1,6,6,¥È¡¼¥»¥ó¥ê¥¹¥È,ÌÆ3,52.0,µÆÂô°ì¼ù,1:46.2,,30.9,6.0,422(-6),[Åì] µÆÂôÎ´ÆÁ
2,1,1,¥É¥Ê¥¢¥È¥é¥¨¥ó¥Æ,ÌÆ3,54.0,¥ë¥á¡¼¥ë,1:46.4,1.1/4,1.9,1.0,438(+20),[Åì] ¹ñ»Þ±É
3,4,4,¥°¥ì¥¤¥¹¥¢¥ó,ÌÆ3,54.0,¸Íºê·½ÂÀ,1:46.5,3/4,4.0,3.0,476(+2),[Åì] ºØÆ£À¿
4,8,8,¥ß¥Á¥Ó¥­,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:46.6,1/2,49.0,7.0,468(+6),[Åì] éâÌ¾Íø¹°
5,5,5,¥¹¥«¥¤¥·¥¢¥¿¡¼,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:46.8,1.1/4,14.7,4.0,414(+2),[Åì] ¹âÌø¿ð¼ù
6,3,3,¥×¥í¥¹¥Ú¥ê¥Æ¥£,ÌÆ3,54.0,ÀÐ¶¶æû,1:46.9,1/2,18.9,5.0,432(-18),[Åì] ¼êÄÍµ®µ×
7,2,2,¥Ü¥ó¥É¥í¡¼¥ë,ÌÆ3,54.0,ÂçÌîÂóÌï,1:47.2,2,96.2,8.0,464(-4),[Åì] ÌðÌî±Ñ°ì
8,7,7,¥¢¥¤¥ï¥Ê¥Ó¥ê¡¼¥ô,ÌÆ3,54.0,»°±º¹ÄÀ®,1:48.0,5,3.2,2.0,460(-2),[Åì] ¸ÍÅÄÇîÊ¸
1,4,8,¥Ú¥¤¥·¥ã¥Í¥¬¥Î,ÌÆ3,54.0,Éð»ÎÂôÍ§,1:24.6,,5.6,4.0,458(+2),[Åì] ¿¼»³²í»Ë
2,2,4,¥Ñ¥¤¥í¥¸¥§¥ó,²´3,56.0,¥ë¥á¡¼¥ë,1:24.7,1/2,12.5,6.0,454(-2),[Åì] °ËÆ£·½»°
